     SHIMADZU CORP.     
     TYPE MOC63u        
       SN D209413638    
       ID Z000          
     CODE 0040          
     DATE 23-03-06      
     TIME 17:14         
     PNO. 1             
     UNIT GRAM          
     MODE AUTO          
     TEMP 80C           
     STOP 0.01 %        
Wet W(g)     3.226      
 TIME       GRAM        
 00:00:00    3.226      
 00:00:01    3.222      
 00:00:02    3.222      
 00:00:03    3.222      
 00:00:04    3.222      
 00:00:05    3.222      
 00:00:06    3.222      
 00:00:07    3.221      
 00:00:08    3.221      
 00:00:09    3.220      
 00:00:10    3.220      
 00:00:11    3.219      
 00:00:12    3.218      
 00:00:13    3.217      
 00:00:14    3.216      
 00:00:15    3.215      
 00:00:16    3.214      
 00:00:17    3.213      
 00:00:18    3.212      
 00:00:19    3.211      
 00:00:20    3.210      
 00:00:21    3.209      
 00:00:22    3.208      
 00:00:23    3.207      
 00:00:24    3.206      
 00:00:25    3.205      
 00:00:26    3.204      
 00:00:27    3.204      
 00:00:28    3.203      
 00:00:29    3.202      
 00:00:30    3.202      
 00:00:31    3.201      
 00:00:32    3.201      
 00:00:33    3.200      
 00:00:34    3.200      
 00:00:35    3.199      
 00:00:36    3.199      
 00:00:37    3.199      
 00:00:38    3.198      
 00:00:39    3.198      
 00:00:40    3.198      
 00:00:41    3.197      
 00:00:42    3.197      
 00:00:43    3.197      
 00:00:44    3.197      
 00:00:45    3.196      
 00:00:46    3.196      
 00:00:47    3.196      
 00:00:48    3.196      
 00:00:49    3.196      
 00:00:50    3.196      
 00:00:51    3.195      
 00:00:52    3.195      
 00:00:53    3.195      
 00:00:54    3.195      
 00:00:55    3.195      
 00:00:56    3.195      
 00:00:57    3.195      
 00:00:58    3.194      
 00:00:59    3.194      
 00:01:00    3.194      
 00:01:01    3.194      
 00:01:02    3.194      
 00:01:03    3.194      
 00:01:04    3.194      
 00:01:05    3.194      
 00:01:06    3.193      
 00:01:07    3.193      
 00:01:08    3.193      
 00:01:09    3.193      
 00:01:10    3.193      
 00:01:11    3.193      
 00:01:12    3.193      
 00:01:13    3.193      
 00:01:14    3.192      
 00:01:15    3.192      
 00:01:16    3.192      
 00:01:17    3.192      
 00:01:18    3.192      
 00:01:19    3.192      
 00:01:20    3.192      
 00:01:21    3.192      
 00:01:22    3.192      
 00:01:23    3.192      
 00:01:24    3.191      
 00:01:25    3.191      
 00:01:26    3.191      
 00:01:27    3.191      
 00:01:28    3.191      
 00:01:29    3.191      
 00:01:30    3.191      
 00:01:31    3.191      
 00:01:32    3.191      
 00:01:33    3.190      
 00:01:34    3.190      
 00:01:35    3.190      
 00:01:36    3.190      
 00:01:37    3.190      
 00:01:38    3.190      
 00:01:39    3.190      
 00:01:40    3.190      
 00:01:41    3.190      
 00:01:42    3.190      
 00:01:43    3.190      
 00:01:44    3.189      
 00:01:45    3.189      
 00:01:46    3.189      
 00:01:47    3.189      
 00:01:48    3.189      
 00:01:49    3.189      
 00:01:50    3.189      
 00:01:51    3.189      
 00:01:52    3.189      
 00:01:53    3.189      
 00:01:54    3.189      
 00:01:55    3.189      
 00:01:56    3.189      
 00:01:57    3.188      
 00:01:58    3.188      
 00:01:59    3.188      
 00:02:00    3.188      
 00:02:01    3.188      
 00:02:02    3.188      
 00:02:03    3.188      
 00:02:04    3.188      
 00:02:05    3.188      
 00:02:06    3.188      
 00:02:07    3.188      
 00:02:08    3.188      
 00:02:09    3.188      
 00:02:10    3.187      
 00:02:11    3.187      
 00:02:12    3.187      
 00:02:13    3.187      
 00:02:14    3.187      
 00:02:15    3.187      
 00:02:16    3.187      
 00:02:17    3.187      
 00:02:18    3.187      
 00:02:19    3.187      
 00:02:20    3.186      
 00:02:21    3.186      
 00:02:22    3.186      
 00:02:23    3.186      
 00:02:24    3.186      
 00:02:25    3.186      
 00:02:26    3.186      
 00:02:27    3.186      
 00:02:28    3.186      
 00:02:29    3.186      
 00:02:30    3.186      
 00:02:31    3.185      
 00:02:32    3.185      
 00:02:33    3.185      
 00:02:34    3.185      
 00:02:35    3.185      
 00:02:36    3.185      
 00:02:37    3.185      
 00:02:38    3.185      
 00:02:39    3.185      
 00:02:40    3.185      
 00:02:41    3.185      
 00:02:42    3.184      
 00:02:43    3.184      
 00:02:44    3.184      
 00:02:45    3.184      
 00:02:46    3.184      
 00:02:47    3.184      
 00:02:48    3.184      
 00:02:49    3.184      
 00:02:50    3.184      
 00:02:51    3.184      
 00:02:52    3.184      
 00:02:53    3.183      
 00:02:54    3.183      
 00:02:55    3.183      
 00:02:56    3.183      
 00:02:57    3.183      
 00:02:58    3.183      
 00:02:59    3.183      
 00:03:00    3.183      
 00:03:01    3.183      
 00:03:02    3.182      
 00:03:03    3.182      
 00:03:04    3.182      
 00:03:05    3.182      
 00:03:06    3.182      
 00:03:07    3.182      
 00:03:08    3.182      
 00:03:09    3.182      
 00:03:10    3.182      
 00:03:11    3.182      
 00:03:12    3.182      
 00:03:13    3.182      
 00:03:14    3.181      
 00:03:15    3.181      
 00:03:16    3.181      
 00:03:17    3.181      
 00:03:18    3.181      
 00:03:19    3.181      
 00:03:20    3.181      
 00:03:21    3.181      
 00:03:22    3.181      
 00:03:23    3.181      
 00:03:24    3.181      
 00:03:25    3.180      
 00:03:26    3.180      
 00:03:27    3.180      
 00:03:28    3.180      
 00:03:29    3.180      
 00:03:30    3.180      
 00:03:31    3.180      
 00:03:32    3.180      
 00:03:33    3.180      
 00:03:34    3.180      
 00:03:35    3.179      
 00:03:36    3.179      
 00:03:37    3.179      
 00:03:38    3.179      
 00:03:39    3.179      
 00:03:40    3.179      
 00:03:41    3.179      
 00:03:42    3.179      
 00:03:43    3.179      
 00:03:44    3.179      
 00:03:45    3.178      
 00:03:46    3.178      
 00:03:47    3.178      
 00:03:48    3.178      
 00:03:49    3.178      
 00:03:50    3.178      
 00:03:51    3.178      
 00:03:52    3.178      
 00:03:53    3.178      
 00:03:54    3.178      
 00:03:55    3.178      
 00:03:56    3.178      
 00:03:57    3.178      
 00:03:58    3.177      
 00:03:59    3.177      
