     SHIMADZU CORP.     
     TYPE MOC63u        
       SN D209413638    
       ID Z000          
     CODE 0038          
     DATE 23-03-06      
     TIME 16:07         
     PNO. 1             
     UNIT GRAM          
     MODE TIME          
     TEMP 200C          
     STOP 00:05         
Wet W(g)     3.296      
 TIME       GRAM        
 00:00:00    3.296      
 00:00:01    3.296      
 00:00:02    3.296      
 00:00:03    3.296      
 00:00:04    3.296      
 00:00:05    3.296      
 00:00:06    3.296      
 00:00:07    3.296      
 00:00:08    3.295      
 00:00:09    3.295      
 00:00:10    3.293      
 00:00:11    3.292      
 00:00:12    3.290      
 00:00:13    3.288      
 00:00:14    3.276      
 00:00:15    3.273      
 00:00:16    3.270      
 00:00:17    3.267      
 00:00:18    3.263      
 00:00:19    3.260      
 00:00:20    3.257      
 00:00:21    3.253      
 00:00:22    3.250      
 00:00:23    3.247      
 00:00:24    3.243      
 00:00:25    3.240      
 00:00:26    3.237      
 00:00:27    3.233      
 00:00:28    3.230      
 00:00:29    3.227      
 00:00:30    3.224      
 00:00:31    3.220      
 00:00:32    3.217      
 00:00:33    3.214      
 00:00:34    3.211      
 00:00:35    3.208      
 00:00:36    3.205      
 00:00:37    3.203      
 00:00:38    3.200      
 00:00:39    3.197      
 00:00:40    3.194      
 00:00:41    3.192      
 00:00:42    3.190      
 00:00:43    3.189      
 00:00:44    3.188      
 00:00:45    3.187      
 00:00:46    3.186      
 00:00:47    3.184      
 00:00:48    3.182      
 00:00:49    3.180      
 00:00:50    3.178      
 00:00:51    3.176      
 00:00:52    3.175      
 00:00:53    3.173      
 00:00:54    3.172      
 00:00:55    3.170      
 00:00:56    3.169      
 00:00:57    3.168      
 00:00:58    3.166      
 00:00:59    3.165      
 00:01:00    3.164      
 00:01:01    3.163      
 00:01:02    3.162      
 00:01:03    3.161      
 00:01:04    3.160      
 00:01:05    3.159      
 00:01:06    3.159      
 00:01:07    3.158      
 00:01:08    3.157      
 00:01:09    3.156      
 00:01:10    3.156      
 00:01:11    3.155      
 00:01:12    3.154      
 00:01:13    3.154      
 00:01:14    3.153      
 00:01:15    3.152      
 00:01:16    3.152      
 00:01:17    3.151      
 00:01:18    3.151      
 00:01:19    3.150      
 00:01:20    3.150      
 00:01:21    3.149      
 00:01:22    3.149      
 00:01:23    3.148      
 00:01:24    3.148      
 00:01:25    3.147      
 00:01:26    3.147      
 00:01:27    3.146      
 00:01:28    3.146      
 00:01:29    3.146      
 00:01:30    3.145      
 00:01:31    3.145      
 00:01:32    3.144      
 00:01:33    3.144      
 00:01:34    3.144      
 00:01:35    3.143      
 00:01:36    3.143      
 00:01:37    3.143      
 00:01:38    3.143      
 00:01:39    3.142      
 00:01:40    3.142      
 00:01:41    3.142      
 00:01:42    3.141      
 00:01:43    3.141      
 00:01:44    3.141      
 00:01:45    3.140      
 00:01:46    3.140      
 00:01:47    3.140      
 00:01:48    3.139      
 00:01:49    3.139      
 00:01:50    3.139      
 00:01:51    3.139      
 00:01:52    3.138      
 00:01:53    3.138      
 00:01:54    3.138      
 00:01:55    3.137      
 00:01:56    3.137      
 00:01:57    3.137      
 00:01:58    3.136      
 00:01:59    3.136      
 00:02:00    3.136      
 00:02:01    3.136      
 00:02:02    3.135      
 00:02:03    3.135      
 00:02:04    3.135      
 00:02:05    3.134      
 00:02:06    3.134      
 00:02:07    3.134      
 00:02:08    3.134      
 00:02:09    3.133      
 00:02:10    3.133      
 00:02:11    3.133      
 00:02:12    3.132      
 00:02:13    3.132      
 00:02:14    3.132      
 00:02:15    3.132      
 00:02:16    3.131      
 00:02:17    3.131      
 00:02:18    3.131      
 00:02:19    3.131      
 00:02:20    3.130      
 00:02:21    3.130      
 00:02:22    3.130      
 00:02:23    3.130      
 00:02:24    3.130      
 00:02:25    3.129      
 00:02:26    3.129      
 00:02:27    3.129      
 00:02:28    3.129      
 00:02:29    3.128      
 00:02:30    3.128      
 00:02:31    3.128      
 00:02:32    3.128      
 00:02:33    3.128      
 00:02:34    3.127      
 00:02:35    3.127      
 00:02:36    3.127      
 00:02:37    3.127      
 00:02:38    3.127      
 00:02:39    3.126      
 00:02:40    3.126      
 00:02:41    3.126      
 00:02:42    3.126      
 00:02:43    3.126      
 00:02:44    3.126      
 00:02:45    3.125      
 00:02:46    3.125      
 00:02:47    3.125      
 00:02:48    3.125      
 00:02:49    3.125      
 00:02:50    3.124      
 00:02:51    3.124      
 00:02:52    3.124      
 00:02:53    3.124      
 00:02:54    3.124      
 00:02:55    3.124      
 00:02:56    3.123      
 00:02:57    3.123      
 00:02:58    3.123      
 00:02:59    3.123      
 00:03:00    3.123      
 00:03:01    3.123      
 00:03:02    3.123      
 00:03:03    3.122      
 00:03:04    3.122      
 00:03:05    3.122      
 00:03:06    3.122      
 00:03:07    3.122      
 00:03:08    3.122      
 00:03:09    3.122      
 00:03:10    3.121      
 00:03:11    3.121      
 00:03:12    3.121      
 00:03:13    3.121      
 00:03:14    3.121      
 00:03:15    3.121      
 00:03:16    3.121      
 00:03:17    3.121      
 00:03:18    3.120      
 00:03:19    3.120      
 00:03:20    3.120      
 00:03:21    3.120      
 00:03:22    3.120      
 00:03:23    3.120      
 00:03:24    3.120      
 00:03:25    3.120      
 00:03:26    3.120      
 00:03:27    3.119      
 00:03:28    3.119      
 00:03:29    3.119      
 00:03:30    3.119      
 00:03:31    3.119      
 00:03:32    3.119      
 00:03:33    3.119      
 00:03:34    3.119      
 00:03:35    3.119      
 00:03:36    3.119      
 00:03:37    3.119      
 00:03:38    3.118      
 00:03:39    3.118      
 00:03:40    3.118      
 00:03:41    3.118      
 00:03:42    3.118      
 00:03:43    3.118      
 00:03:44    3.118      
 00:03:45    3.118      
 00:03:46    3.118      
 00:03:47    3.118      
 00:03:48    3.118      
 00:03:49    3.118      
 00:03:50    3.117      
 00:03:51    3.117      
 00:03:52    3.117      
 00:03:53    3.117      
 00:03:54    3.117      
 00:03:55    3.117      
 00:03:56    3.117      
 00:03:57    3.117      
 00:03:58    3.117      
 00:03:59    3.117      
 00:04:00    3.117      
