     SHIMADZU CORP.     
     TYPE MOC63u        
       SN D209413638    
       ID Z000          
     CODE 0039          
     DATE 23-03-06      
     TIME 16:31         
     PNO. 1             
     UNIT GRAM          
     MODE TIME          
     TEMP 200C          
     STOP 00:15         
Wet W(g)     3.221      
 TIME       GRAM        
 00:00:00    3.221      
 00:00:01    3.221      
 00:00:02    3.221      
 00:00:03    3.221      
 00:00:04    3.221      
 00:00:05    3.221      
 00:00:06    3.221      
 00:00:07    3.221      
 00:00:08    3.220      
 00:00:09    3.220      
 00:00:10    3.219      
 00:00:11    3.218      
 00:00:12    3.216      
 00:00:13    3.214      
 00:00:14    3.212      
 00:00:15    3.210      
 00:00:16    3.207      
 00:00:17    3.197      
 00:00:18    3.194      
 00:00:19    3.191      
 00:00:20    3.188      
 00:00:21    3.186      
 00:00:22    3.183      
 00:00:23    3.180      
 00:00:24    3.177      
 00:00:25    3.174      
 00:00:26    3.171      
 00:00:27    3.168      
 00:00:28    3.166      
 00:00:29    3.163      
 00:00:30    3.160      
 00:00:31    3.158      
 00:00:32    3.156      
 00:00:33    3.155      
 00:00:34    3.153      
 00:00:35    3.152      
 00:00:36    3.151      
 00:00:37    3.150      
 00:00:38    3.149      
 00:00:39    3.147      
 00:00:40    3.145      
 00:00:41    3.143      
 00:00:42    3.142      
 00:00:43    3.141      
 00:00:44    3.139      
 00:00:45    3.138      
 00:00:46    3.137      
 00:00:47    3.136      
 00:00:48    3.135      
 00:00:49    3.135      
 00:00:50    3.134      
 00:00:51    3.133      
 00:00:52    3.133      
 00:00:53    3.132      
 00:00:54    3.132      
 00:00:55    3.131      
 00:00:56    3.131      
 00:00:57    3.131      
 00:00:58    3.130      
 00:00:59    3.130      
 00:01:00    3.130      
 00:01:01    3.129      
 00:01:02    3.129      
 00:01:03    3.129      
 00:01:04    3.128      
 00:01:05    3.128      
 00:01:06    3.128      
 00:01:07    3.128      
 00:01:08    3.128      
 00:01:09    3.127      
 00:01:10    3.127      
 00:01:11    3.127      
 00:01:12    3.127      
 00:01:13    3.126      
 00:01:14    3.126      
 00:01:15    3.126      
 00:01:16    3.126      
 00:01:17    3.126      
 00:01:18    3.125      
 00:01:19    3.125      
 00:01:20    3.125      
 00:01:21    3.125      
 00:01:22    3.125      
 00:01:23    3.124      
 00:01:24    3.124      
 00:01:25    3.124      
 00:01:26    3.124      
 00:01:27    3.124      
 00:01:28    3.124      
 00:01:29    3.123      
 00:01:30    3.123      
 00:01:31    3.123      
 00:01:32    3.123      
 00:01:33    3.123      
 00:01:34    3.123      
 00:01:35    3.123      
 00:01:36    3.122      
 00:01:37    3.122      
 00:01:38    3.122      
 00:01:39    3.122      
 00:01:40    3.122      
 00:01:41    3.122      
 00:01:42    3.122      
 00:01:43    3.122      
 00:01:44    3.121      
 00:01:45    3.121      
 00:01:46    3.121      
 00:01:47    3.121      
 00:01:48    3.121      
 00:01:49    3.121      
 00:01:50    3.120      
 00:01:51    3.120      
 00:01:52    3.120      
 00:01:53    3.120      
 00:01:54    3.120      
 00:01:55    3.120      
 00:01:56    3.120      
 00:01:57    3.119      
 00:01:58    3.119      
 00:01:59    3.119      
 00:02:00    3.119      
 00:02:01    3.119      
 00:02:02    3.119      
 00:02:03    3.119      
 00:02:04    3.118      
 00:02:05    3.118      
 00:02:06    3.118      
 00:02:07    3.118      
 00:02:08    3.118      
 00:02:09    3.118      
 00:02:10    3.118      
 00:02:11    3.118      
 00:02:12    3.117      
 00:02:13    3.117      
 00:02:14    3.117      
 00:02:15    3.117      
 00:02:16    3.117      
 00:02:17    3.117      
 00:02:18    3.117      
 00:02:19    3.117      
 00:02:20    3.116      
 00:02:21    3.116      
 00:02:22    3.116      
 00:02:23    3.116      
 00:02:24    3.116      
 00:02:25    3.116      
 00:02:26    3.116      
 00:02:27    3.116      
 00:02:28    3.115      
 00:02:29    3.115      
 00:02:30    3.115      
 00:02:31    3.115      
 00:02:32    3.115      
 00:02:33    3.115      
 00:02:34    3.115      
 00:02:35    3.115      
 00:02:36    3.115      
 00:02:37    3.115      
 00:02:38    3.114      
 00:02:39    3.114      
 00:02:40    3.114      
 00:02:41    3.114      
 00:02:42    3.114      
 00:02:43    3.114      
 00:02:44    3.114      
 00:02:45    3.114      
 00:02:46    3.114      
 00:02:47    3.114      
 00:02:48    3.114      
 00:02:49    3.113      
 00:02:50    3.113      
 00:02:51    3.113      
 00:02:52    3.113      
 00:02:53    3.113      
 00:02:54    3.113      
 00:02:55    3.113      
 00:02:56    3.113      
 00:02:57    3.113      
 00:02:58    3.113      
 00:02:59    3.112      
 00:03:00    3.112      
 00:03:01    3.112      
 00:03:02    3.112      
 00:03:03    3.112      
 00:03:04    3.112      
 00:03:05    3.112      
 00:03:06    3.112      
 00:03:07    3.112      
 00:03:08    3.112      
 00:03:09    3.112      
 00:03:10    3.112      
 00:03:11    3.112      
 00:03:12    3.111      
 00:03:13    3.111      
 00:03:14    3.111      
 00:03:15    3.111      
 00:03:16    3.111      
 00:03:17    3.111      
 00:03:18    3.111      
 00:03:19    3.111      
 00:03:20    3.111      
 00:03:21    3.111      
 00:03:22    3.111      
 00:03:23    3.111      
 00:03:24    3.111      
 00:03:25    3.111      
 00:03:26    3.111      
 00:03:27    3.111      
 00:03:28    3.111      
 00:03:29    3.110      
 00:03:30    3.110      
 00:03:31    3.110      
 00:03:32    3.110      
 00:03:33    3.110      
 00:03:34    3.110      
 00:03:35    3.110      
 00:03:36    3.110      
 00:03:37    3.110      
 00:03:38    3.110      
 00:03:39    3.110      
 00:03:40    3.110      
 00:03:41    3.110      
 00:03:42    3.110      
 00:03:43    3.110      
 00:03:44    3.109      
 00:03:45    3.109      
 00:03:46    3.109      
 00:03:47    3.109      
 00:03:48    3.109      
 00:03:49    3.109      
 00:03:50    3.109      
 00:03:51    3.109      
 00:03:52    3.109      
 00:03:53    3.109      
 00:03:54    3.109      
 00:03:55    3.109      
 00:03:56    3.109      
 00:03:57    3.109      
 00:03:58    3.109      
 00:03:59    3.109      
 00:04:00    3.109      
