     SHIMADZU CORP.     
     TYPE MOC63u        
       SN D209413638    
       ID Z000          
     CODE 0036          
     DATE 23-03-04      
     TIME 11:28         
     PNO. 1             
     UNIT GRAM          
     MODE TIME          
     TEMP 200C          
     STOP 00:05         
Wet W(g)     0.600      
 TIME       GRAM        
 00:00:00    0.600      
 00:00:01    0.600      
 00:00:02    0.600      
 00:00:03    0.600      
 00:00:04    0.600      
 00:00:05    0.600      
 00:00:06    0.600      
 00:00:07    0.600      
 00:00:08    0.599      
 00:00:09    0.599      
 00:00:10    0.599      
 00:00:11    0.598      
 00:00:12    0.598      
 00:00:13    0.597      
 00:00:14    0.596      
 00:00:15    0.596      
 00:00:16    0.595      
 00:00:17    0.595      
 00:00:18    0.594      
 00:00:19    0.594      
 00:00:20    0.593      
 00:00:21    0.592      
 00:00:22    0.592      
 00:00:23    0.591      
 00:00:24    0.591      
 00:00:25    0.590      
 00:00:26    0.589      
 00:00:27    0.588      
 00:00:28    0.587      
 00:00:29    0.585      
 00:00:30    0.584      
 00:00:31    0.583      
 00:00:32    0.581      
 00:00:33    0.580      
 00:00:34    0.578      
 00:00:35    0.576      
 00:00:36    0.575      
 00:00:37    0.573      
 00:00:38    0.571      
 00:00:39    0.570      
 00:00:40    0.568      
 00:00:41    0.566      
 00:00:42    0.564      
 00:00:43    0.563      
 00:00:44    0.561      
 00:00:45    0.559      
 00:00:46    0.557      
 00:00:47    0.556      
 00:00:48    0.554      
 00:00:49    0.552      
 00:00:50    0.550      
 00:00:51    0.549      
 00:00:52    0.547      
 00:00:53    0.545      
 00:00:54    0.544      
 00:00:55    0.542      
 00:00:56    0.540      
 00:00:57    0.539      
 00:00:58    0.537      
 00:00:59    0.536      
 00:01:00    0.534      
 00:01:01    0.532      
 00:01:02    0.531      
 00:01:03    0.529      
 00:01:04    0.528      
 00:01:05    0.526      
 00:01:06    0.525      
 00:01:07    0.523      
 00:01:08    0.522      
 00:01:09    0.520      
 00:01:10    0.519      
 00:01:11    0.518      
 00:01:12    0.516      
 00:01:13    0.515      
 00:01:14    0.513      
 00:01:15    0.512      
 00:01:16    0.511      
 00:01:17    0.509      
 00:01:18    0.508      
 00:01:19    0.507      
 00:01:20    0.505      
 00:01:21    0.504      
 00:01:22    0.502      
 00:01:23    0.501      
 00:01:24    0.500      
 00:01:25    0.499      
 00:01:26    0.497      
 00:01:27    0.496      
 00:01:28    0.495      
 00:01:29    0.493      
 00:01:30    0.492      
 00:01:31    0.491      
 00:01:32    0.490      
 00:01:33    0.488      
 00:01:34    0.487      
 00:01:35    0.486      
 00:01:36    0.485      
 00:01:37    0.484      
 00:01:38    0.482      
 00:01:39    0.481      
 00:01:40    0.480      
 00:01:41    0.479      
 00:01:42    0.478      
 00:01:43    0.476      
 00:01:44    0.475      
 00:01:45    0.474      
 00:01:46    0.473      
 00:01:47    0.472      
 00:01:48    0.470      
 00:01:49    0.469      
 00:01:50    0.468      
 00:01:51    0.467      
 00:01:52    0.466      
 00:01:53    0.465      
 00:01:54    0.463      
 00:01:55    0.462      
 00:01:56    0.461      
 00:01:57    0.460      
 00:01:58    0.459      
 00:01:59    0.458      
 00:02:00    0.457      
 00:02:01    0.455      
 00:02:02    0.454      
 00:02:03    0.453      
 00:02:04    0.452      
 00:02:05    0.451      
 00:02:06    0.450      
 00:02:07    0.448      
 00:02:08    0.447      
 00:02:09    0.446      
 00:02:10    0.445      
 00:02:11    0.444      
 00:02:12    0.443      
 00:02:13    0.441      
 00:02:14    0.440      
 00:02:15    0.439      
 00:02:16    0.438      
 00:02:17    0.437      
 00:02:18    0.436      
 00:02:19    0.435      
 00:02:20    0.433      
 00:02:21    0.432      
 00:02:22    0.431      
 00:02:23    0.430      
 00:02:24    0.429      
 00:02:25    0.428      
 00:02:26    0.427      
 00:02:27    0.425      
 00:02:28    0.424      
 00:02:29    0.423      
 00:02:30    0.422      
 00:02:31    0.421      
 00:02:32    0.420      
 00:02:33    0.419      
 00:02:34    0.418      
 00:02:35    0.416      
 00:02:36    0.415      
 00:02:37    0.414      
 00:02:38    0.413      
 00:02:39    0.412      
 00:02:40    0.411      
 00:02:41    0.410      
 00:02:42    0.409      
 00:02:43    0.407      
 00:02:44    0.406      
 00:02:45    0.405      
 00:02:46    0.404      
 00:02:47    0.403      
 00:02:48    0.402      
 00:02:49    0.401      
 00:02:50    0.400      
 00:02:51    0.399      
 00:02:52    0.397      
 00:02:53    0.396      
 00:02:54    0.395      
 00:02:55    0.394      
 00:02:56    0.393      
 00:02:57    0.392      
 00:02:58    0.391      
 00:02:59    0.390      
 00:03:00    0.389      
 00:03:01    0.388      
 00:03:02    0.387      
 00:03:03    0.386      
 00:03:04    0.385      
 00:03:05    0.383      
 00:03:06    0.382      
 00:03:07    0.381      
 00:03:08    0.380      
 00:03:09    0.379      
 00:03:10    0.378      
 00:03:11    0.377      
 00:03:12    0.376      
 00:03:13    0.375      
 00:03:14    0.373      
 00:03:15    0.372      
 00:03:16    0.371      
 00:03:17    0.370      
 00:03:18    0.369      
 00:03:19    0.368      
 00:03:20    0.367      
 00:03:21    0.366      
 00:03:22    0.365      
 00:03:23    0.364      
 00:03:24    0.362      
 00:03:25    0.361      
 00:03:26    0.360      
 00:03:27    0.359      
 00:03:28    0.358      
 00:03:29    0.357      
 00:03:30    0.356      
 00:03:31    0.355      
 00:03:32    0.354      
 00:03:33    0.353      
 00:03:34    0.352      
 00:03:35    0.351      
 00:03:36    0.349      
 00:03:37    0.348      
 00:03:38    0.347      
 00:03:39    0.346      
 00:03:40    0.345      
 00:03:41    0.344      
 00:03:42    0.343      
 00:03:43    0.342      
 00:03:44    0.341      
 00:03:45    0.340      
 00:03:46    0.339      
 00:03:47    0.338      
 00:03:48    0.336      
 00:03:49    0.335      
 00:03:50    0.334      
 00:03:51    0.333      
 00:03:52    0.332      
 00:03:53    0.331      
 00:03:54    0.330      
 00:03:55    0.329      
 00:03:56    0.328      
 00:03:57    0.327      
 00:03:58    0.326      
 00:03:59    0.325      
 00:04:00    0.324      
